,revenue,marketing_spend,website_traffic,ad_clicks,conversion_rate,discount_rate,returns_pct,support_tickets,customer_satisfaction,churn_rate,employee_count,avg_temperature_c
revenue,1.0,-0.24586147313179416,0.1780950045157888,0.17250787419615712,0.693687896373808,-0.06492215624407999,-0.02863177844602068,-0.03265919069636737,-0.01608867684779819,0.023786606116656044,0.046818077775594685,-0.18927531441071155
marketing_spend,-0.24586147313179416,1.0,0.6858237259523936,0.6502182556030269,-0.6948018501325918,0.017532250178332282,0.008432361864184848,-0.04434484141458654,0.027079979660459788,0.03517969188777156,-0.0641974346707587,0.5517924527487157
website_traffic,0.1780950045157888,0.6858237259523936,1.0,0.9675718143671584,-0.49754083193601545,0.01771839547102763,0.01953770065905421,-0.006835720066850865,-0.005289338307969919,0.0713161997925101,-0.03179706614924379,0.34219445786144453
ad_clicks,0.17250787419615712,0.6502182556030269,0.9675718143671584,1.0,-0.4801478636618165,0.02050372958602114,0.018872981734318135,-0.017896521240918548,0.014122570670701566,0.06817292142659984,-0.00766424176886716,0.3184770933433254
conversion_rate,0.693687896373808,-0.6948018501325918,-0.49754083193601545,-0.4801478636618165,1.0,-0.06479252211177026,-0.03571531324597029,-0.00775830244945781,-0.01802880658447483,-0.011524291339042689,0.047603805748158506,-0.40512471105184145
discount_rate,-0.06492215624407999,0.017532250178332282,0.01771839547102763,0.02050372958602114,-0.06479252211177026,1.0,0.7367712693554417,0.352981794935886,-0.1337353055694102,0.0583398253219855,-0.04317289750278065,0.02931273447669091
returns_pct,-0.02863177844602068,0.008432361864184848,0.01953770065905421,0.018872981734318135,-0.03571531324597029,0.7367712693554417,1.0,0.4856233205810885,-0.21109835088480844,0.09468752298080521,-0.06169336958986377,0.023608927593605368
support_tickets,-0.03265919069636737,-0.04434484141458654,-0.006835720066850865,-0.017896521240918548,-0.00775830244945781,0.352981794935886,0.4856233205810885,1.0,-0.4607522816722212,0.22240308346728307,-0.07718289939055964,-0.02542909170989831
customer_satisfaction,-0.01608867684779819,0.027079979660459788,-0.005289338307969919,0.014122570670701566,-0.01802880658447483,-0.1337353055694102,-0.21109835088480844,-0.4607522816722212,1.0,-0.4122273340053492,0.02296593895528471,0.03284358411355409
churn_rate,0.023786606116656044,0.03517969188777156,0.0713161997925101,0.06817292142659984,-0.011524291339042689,0.0583398253219855,0.09468752298080521,0.22240308346728307,-0.4122273340053492,1.0,-0.0071765906019958334,0.004673879686049397
employee_count,0.046818077775594685,-0.0641974346707587,-0.03179706614924379,-0.00766424176886716,0.047603805748158506,-0.04317289750278065,-0.06169336958986377,-0.07718289939055964,0.02296593895528471,-0.0071765906019958334,1.0,-0.24981009459555956
avg_temperature_c,-0.18927531441071155,0.5517924527487157,0.34219445786144453,0.3184770933433254,-0.40512471105184145,0.02931273447669091,0.023608927593605368,-0.02542909170989831,0.03284358411355409,0.004673879686049397,-0.24981009459555956,1.0
